anfr:Tableau

anfr rallongerTableauDeUnElement0 (2/2):    | exo.rallongerTableauDeUnElement(tab0, 8)
anfr rallongerTableauDeUnElement1 (2/2):    | exo.rallongerTableauDeUnElement(tab, 8)
anfr rallongerTableauDeUnElement2 (1/1):    | exo.rallongerTableauDeUnElement(null, -8)
anfr changerDimensionTableau0 (2/2):    | exo.changerDimensionTableau(tab0, 2)
anfr changerDimensionTableau1 (2/2):    | exo.changerDimensionTableau(tab0, 3)
anfr changerDimensionTableau2 (2/2):    | exo.changerDimensionTableau(tab, 8)
anfr changerDimensionTableau3 (1/1):    | exo.changerDimensionTableau(tab, 7)
anfr changerDimensionTableau4 (1/1):    | exo.changerDimensionTableau(null, 2)
anfr inverserTableau0 (2/2):    | exo.inverserTableau(tab0)
anfr inverserTableau1 (2/2):    | exo.inverserTableau(tab)
anfr inverserTableau2 (1/1):    | exo.inverserTableau(null)
anfr insererUnTableauDansUnAutre0 (2/2):    | exo.insererUnTableauDansUnAutre(tab0, 8, tab1)
anfr insererUnTableauDansUnAutre1 (2/2):    | exo.insererUnTableauDansUnAutre(tab, 8, tab1)
anfr insererUnTableauDansUnAutre2 (1/1):    | exo.insererUnTableauDansUnAutre(tab, -3, tab1)
anfr insererUnTableauDansUnAutre3 (1/1):    | exo.insererUnTableauDansUnAutre(tab, 23233, tab1)
anfr insererUnTableauDansUnAutre4 (0/1): KO | exo.insererUnTableauDansUnAutre(null, 23233, tab1)
null
anfr insererUnTableauDansUnAutre5 (1/1):    | exo.insererUnTableauDansUnAutre(tab, 3, null)
anfr tabBaseDeux0 (2/2):    | exo.tabBaseDeux(tab0, 18)
anfr tabBaseDeux1 (2/2):    | exo.tabBaseDeux(Integer.MAX_VALUE)
anfr tabBaseDeux2 (2/2):    | exo.tabBaseDeux(Integer.MIN_VALUE)
anfr NOTE : (31 / 32) = 19 / 20
