beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
beba NOTE : (0 / 14) = ,00 / 20

