phva testMoins (1/1):    | exo.solution(tab, cat, n)
phva testNull (0/1): KO | exo.solution(null, cat, n) résultat incorrect
phva testTrop (0/1): KO | exo.solution(tab, cat, n) résultat incorrect
phva testAnnormal (1/1):    | exo.solution(tab, cat, n)
phva testCatAnnormal (0/1): KO | exo.solution(null, cat, n) résultat incorrect
phva testCatNull (0/1): KO | exo.solution(null, cat, n) résultat incorrect
phva testCatGrand (0/1): KO | exo.solution(null, cat, n) résultat incorrect
phva testCatPetit (0/1): KO | exo.solution(null, cat, n) résultat incorrect
phva testNormal0 (2/2):    | exo.solution(tab, cat, n)
phva testNormal1 (2/2):    | exo.solution(tab, cat, n)
phva testNormal2 (2/2):    | exo.solution(tab, cat, n)
phva NOTE : (8 / 14) = 11,43 / 20

