phva:Algo

phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
phva testNormal (2/2):    | solution(10,12,lst)
