thcr:Algo

thcr testMoins (1/1):    | exo.solution(tab, cat, n)
thcr testNull (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
thcr testTrop (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
thcr testAnnormal (1/1):    | exo.solution(tab, cat, n)
thcr testCatAnnormal (1/1):    | exo.solution(null, cat, n)
thcr testCatNull (0/1): KO | exo.solution(null, cat, n) résultat incorrect
thcr testCatGrand (0/1): KO | exo.solution(null, cat, n) résultat incorrect
thcr testCatPetit (0/1): KO | exo.solution(null, cat, n) résultat incorrect
thcr testNormal0 (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
thcr testNormal1 (0/2): KO | exo.solution(tab, cat, n) résultat incorrect
thcr testNormal2 (0/1): KO | exo.solution(tab, cat, n) le programme est trop long
thcr NOTE : (3 / 14) = 4,29 / 20

